Job Title,Company,Industry,City,Experience,Employment Type,Work Mode,Company Email,Description,Posted Date
Supply Chain Analyst,Reliance Industries,General,Delhi,1-3 Years,Full Time,On-site,careers@relianceindustries.com,Coordinate with team members and report progress to management. Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required.,2025-12-10
Bank Clerk,Infosys,General,Bhopal,0-1 Years,Full Time,On-site,careers@infosys.com,Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required.,2025-12-15
Interior Designer,ICICI Bank,General,Indore,3-5 Years,Full Time,On-site,careers@icicibank.com,Follow company policies and maintain quality standards. Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management.,2025-11-21
Warehouse Manager,Amazon India,Logistics,Mumbai,Fresher,Full Time,On-site,careers@amazonindia.com,Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management. Support various tasks across teams as required. Follow company policies and maintain quality standards.,2026-01-01
Staff Nurse,Wipro,Healthcare,Mumbai,5+ Years,Part Time,On-site,careers@wipro.com,Monitor patient vitals and administer medications. Communicate with patients and families about treatment plans. Assist in emergency situations and routine checkups. Maintain medical records and ensure hygiene standards.,2025-12-02
Hospital Administrator,Byju's,General,Kolkata,0-1 Years,Full Time,On-site,careers@byju's.com,Follow company policies and maintain quality standards. Coordinate with team members and report progress to management. Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines.,2026-01-06
Project Coordinator,Flipkart,General,Kolkata,3-5 Years,Full Time,On-site,careers@flipkart.com,Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management.,2026-01-04
Content Writer,Infosys,General,Delhi,Fresher,Full Time,On-site,careers@infosys.com,Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required. Follow company policies and maintain quality standards.,2026-01-14
Interior Designer,Reliance Industries,General,Bengaluru,5+ Years,Full Time,On-site,careers@relianceindustries.com,Support various tasks across teams as required. Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards.,2025-11-26
Marketing Executive,Swiggy,Marketing & Advertising,Jaipur,Fresher,Internship,Remote,careers@swiggy.com,Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management.,2026-01-06
Hospital Administrator,Swiggy,General,Jaipur,0-1 Years,Full Time,On-site,careers@swiggy.com,Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required.,2026-01-19
Accountant,Infosys,Banking & Finance,Patna,Fresher,Full Time,On-site,careers@infosys.com,Follow company policies and maintain quality standards. Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines.,2025-12-05
Supply Chain Analyst,Infosys,General,Chennai,3-5 Years,Full Time,On-site,careers@infosys.com,Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management.,2025-12-29
Civil Engineer,Flipkart,General,Nagpur,1-3 Years,Full Time,On-site,careers@flipkart.com,Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management.,2025-12-24
Interior Designer,HDFC Bank,General,Chennai,Fresher,Full Time,On-site,careers@hdfcbank.com,Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required.,2026-01-17
Marketing Executive,Tata Group,Marketing & Advertising,Chennai,0-1 Years,Full Time,Hybrid,careers@tatagroup.com,Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management. Support various tasks across teams as required. Follow company policies and maintain quality standards.,2025-12-06
Site Supervisor,Amazon India,Construction,Bhopal,Fresher,Full Time,On-site,careers@amazonindia.com,Coordinate with engineers and contractors. Supervise construction activities at the site. Ensure safety standards and material quality. Monitor project progress and report to management.,2025-12-07
Pharmacist,Tata Group,General,Gurgaon,Fresher,Full Time,On-site,careers@tatagroup.com,Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required. Coordinate with team members and report progress to management.,2025-12-10
Operations Executive,Swiggy,Logistics,Ahmedabad,0-1 Years,Contract,On-site,careers@swiggy.com,Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management. Follow company policies and maintain quality standards.,2025-11-28
Mechanical Engineer,Amazon India,General,Delhi,Fresher,Full Time,On-site,careers@amazonindia.com,Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required.,2025-12-12
HR Executive,L&T,IT Services,Noida,5+ Years,Full Time,On-site,careers@l&t.com,"Coordinate HR policies, payroll support, and compliance. Manage recruitment, onboarding, and employee documentation. Support training and development initiatives. Maintain records of employee attendance and leave.",2025-12-16
Quality Analyst,L&T,General,Indore,0-1 Years,Full Time,On-site,careers@l&t.com,Follow company policies and maintain quality standards. Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required.,2026-01-13
Graphic Designer,Byju's,General,Ahmedabad,0-1 Years,Full Time,On-site,careers@byju's.com,Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required. Follow company policies and maintain quality standards.,2025-12-28
