Job Title,Company,Industry,City,Experience,Employment Type,Work Mode,Company Email,Description,Posted Date
Quality Analyst,Adani Group,General,Noida,0-1 Years,Full Time,On-site,careers@adanigroup.com,Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required.,2025-11-26
Data Analyst,Reliance Industries,IT Services,Patna,5+ Years,Full Time,Remote,careers@relianceindustries.com,Analyze large datasets to extract actionable insights. Work with stakeholders to understand data requirements. Implement data cleaning and transformation pipelines. Ensure data accuracy and maintain database integrity.,2025-11-28
Data Analyst,Wipro,IT Services,Jaipur,5+ Years,Full Time,On-site,careers@wipro.com,Work with stakeholders to understand data requirements. Analyze large datasets to extract actionable insights. Implement data cleaning and transformation pipelines. Create dashboards and reports to support business decisions.,2025-12-14
Supply Chain Analyst,Tata Group,General,Ahmedabad,0-1 Years,Full Time,On-site,careers@tatagroup.com,Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required.,2025-11-28
Electrical Technician,Mahindra & Mahindra,General,Lucknow,1-3 Years,Full Time,On-site,careers@mahindra&mahindra.com,Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards.,2026-01-17
Site Supervisor,Adani Group,Construction,Lucknow,3-5 Years,Full Time,On-site,careers@adanigroup.com,Ensure safety standards and material quality. Supervise construction activities at the site. Monitor project progress and report to management. Coordinate with engineers and contractors.,2025-11-24
Project Coordinator,Adani Group,General,Jaipur,5+ Years,Full Time,On-site,careers@adanigroup.com,Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management.,2025-12-26
Hospital Administrator,Adani Group,General,Mumbai,0-1 Years,Full Time,On-site,careers@adanigroup.com,Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards. Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion.,2026-01-15
HR Executive,Wipro,IT Services,Kolkata,1-3 Years,Full Time,On-site,careers@wipro.com,"Manage recruitment, onboarding, and employee documentation. Assist in employee engagement and performance management. Maintain records of employee attendance and leave. Coordinate HR policies, payroll support, and compliance.",2025-12-19
Site Supervisor,Adani Group,Construction,Mumbai,5+ Years,Full Time,On-site,careers@adanigroup.com,Supervise construction activities at the site. Schedule labor and resources efficiently to meet deadlines. Monitor project progress and report to management. Coordinate with engineers and contractors.,2025-12-03
Marketing Executive,Byju's,Marketing & Advertising,Kolkata,0-1 Years,Internship,Hybrid,careers@byju's.com,Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required. Coordinate with team members and report progress to management.,2025-12-08
Teacher,Byju's,Education,Ahmedabad,1-3 Years,Full Time,On-site,careers@byju's.com,Coordinate with team members and report progress to management. Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines.,2025-12-28
Software Engineer,Infosys,IT Services,Indore,0-1 Years,Full Time,Remote,careers@infosys.com,"Write technical documentation and ensure proper version control. Debug, test, and optimize code for high performance. Design, develop, and maintain scalable software applications. Collaborate with cross-functional teams to implement new features.",2025-12-07
Pharmacist,Adani Group,General,Chennai,Fresher,Full Time,On-site,careers@adanigroup.com,Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards. Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines.,2025-12-09
Customer Support Executive,Adani Group,General,Lucknow,3-5 Years,Full Time,On-site,careers@adanigroup.com,Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion.,2026-01-04
Project Coordinator,Tata Group,General,Pune,Fresher,Full Time,On-site,careers@tatagroup.com,Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required. Follow company policies and maintain quality standards.,2025-12-31
Digital Marketing Executive,Tata Group,General,Hyderabad,1-3 Years,Full Time,On-site,careers@tatagroup.com,Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management.,2025-12-08
Mechanical Engineer,Tata Group,General,Kolkata,Fresher,Full Time,On-site,careers@tatagroup.com,Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion. Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards.,2025-11-30
HR Executive,Reliance Industries,IT Services,Lucknow,1-3 Years,Full Time,On-site,careers@relianceindustries.com,"Assist in employee engagement and performance management. Coordinate HR policies, payroll support, and compliance. Manage recruitment, onboarding, and employee documentation. Support training and development initiatives.",2025-12-02
Civil Engineer,Adani Group,General,Lucknow,5+ Years,Full Time,On-site,careers@adanigroup.com,Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required. Coordinate with team members and report progress to management.,2025-12-12
Production Supervisor,Reliance Industries,General,Hyderabad,Fresher,Full Time,On-site,careers@relianceindustries.com,Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards. Coordinate with team members and report progress to management.,2026-01-08
Data Analyst,Infosys,IT Services,Ahmedabad,0-1 Years,Full Time,Hybrid,careers@infosys.com,Create dashboards and reports to support business decisions. Work with stakeholders to understand data requirements. Ensure data accuracy and maintain database integrity. Implement data cleaning and transformation pipelines.,2026-01-16
Project Coordinator,Mahindra & Mahindra,General,Patna,1-3 Years,Full Time,On-site,careers@mahindra&mahindra.com,Support various tasks across teams as required. Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion.,2026-01-15
Teacher,Byju's,Education,Kolkata,1-3 Years,Full Time,Hybrid,careers@byju's.com,Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management. Support various tasks across teams as required. Follow company policies and maintain quality standards.,2025-12-17
Operations Executive,Mahindra & Mahindra,Logistics,Bengaluru,3-5 Years,Contract,On-site,careers@mahindra&mahindra.com,Coordinate with team members and report progress to management. Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required.,2025-12-26
Digital Marketing Executive,Adani Group,General,Lucknow,0-1 Years,Full Time,On-site,careers@adanigroup.com,Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required. Coordinate with team members and report progress to management. Follow company policies and maintain quality standards.,2025-12-21
Supply Chain Analyst,Mahindra & Mahindra,General,Pune,3-5 Years,Full Time,On-site,careers@mahindra&mahindra.com,Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required. Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion.,2025-12-14
Customer Support Executive,Reliance Industries,General,Mumbai,1-3 Years,Full Time,On-site,careers@relianceindustries.com,Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required. Follow company policies and maintain quality standards.,2026-01-15
Accountant,HDFC Bank,Banking & Finance,Noida,1-3 Years,Part Time,Remote,careers@hdfcbank.com,Support various tasks across teams as required. Ensure proper documentation and compliance with guidelines. Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management.,2025-11-23
Marketing Executive,Mahindra & Mahindra,Marketing & Advertising,Bhopal,Fresher,Internship,Hybrid,careers@mahindra&mahindra.com,Handle assigned responsibilities and ensure timely task completion. Support various tasks across teams as required. Coordinate with team members and report progress to management. Follow company policies and maintain quality standards.,2025-12-20
Teacher,Byju's,Education,Jaipur,1-3 Years,Part Time,On-site,careers@byju's.com,Coordinate with team members and report progress to management. Support various tasks across teams as required. Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion.,2026-01-12
Sales Manager,Flipkart,Retail,Gurgaon,Fresher,Full Time,On-site,careers@flipkart.com,Analyze market trends and customer needs. Prepare sales reports and presentations for management. Negotiate contracts and maintain customer satisfaction. Develop sales strategies and manage client relationships.,2025-12-12
Warehouse Manager,Mahindra & Mahindra,Logistics,Lucknow,Fresher,Full Time,On-site,careers@mahindra&mahindra.com,Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines. Follow company policies and maintain quality standards. Support various tasks across teams as required.,2025-12-06
Marketing Executive,Mahindra & Mahindra,Marketing & Advertising,Nagpur,1-3 Years,Full Time,Hybrid,careers@mahindra&mahindra.com,Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion.,2026-01-10
Hospital Administrator,Tata Group,General,Lucknow,5+ Years,Full Time,On-site,careers@tatagroup.com,Follow company policies and maintain quality standards. Coordinate with team members and report progress to management. Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion.,2026-01-03
Mechanical Engineer,Adani Group,General,Bhopal,3-5 Years,Full Time,On-site,careers@adanigroup.com,Handle assigned responsibilities and ensure timely task completion. Follow company policies and maintain quality standards. Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management.,2026-01-07
Mechanical Engineer,Tata Group,General,Jaipur,Fresher,Full Time,On-site,careers@tatagroup.com,Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required. Follow company policies and maintain quality standards. Coordinate with team members and report progress to management.,2025-12-17
Quality Analyst,Adani Group,General,Nagpur,3-5 Years,Full Time,On-site,careers@adanigroup.com,Ensure proper documentation and compliance with guidelines. Coordinate with team members and report progress to management. Support various tasks across teams as required. Follow company policies and maintain quality standards.,2026-01-14
Interior Designer,Mahindra & Mahindra,General,Hyderabad,1-3 Years,Full Time,On-site,careers@mahindra&mahindra.com,Support various tasks across teams as required. Coordinate with team members and report progress to management. Follow company policies and maintain quality standards. Handle assigned responsibilities and ensure timely task completion.,2025-12-13
Data Analyst,Tata Group,IT Services,Bhopal,3-5 Years,Full Time,Remote,careers@tatagroup.com,Create dashboards and reports to support business decisions. Analyze large datasets to extract actionable insights. Work with stakeholders to understand data requirements. Ensure data accuracy and maintain database integrity.,2026-01-11
Electrical Technician,Tata Group,General,Bhopal,5+ Years,Full Time,On-site,careers@tatagroup.com,Ensure proper documentation and compliance with guidelines. Support various tasks across teams as required. Coordinate with team members and report progress to management. Handle assigned responsibilities and ensure timely task completion.,2026-01-03
Civil Engineer,Adani Group,General,Ahmedabad,0-1 Years,Full Time,On-site,careers@adanigroup.com,Support various tasks across teams as required. Handle assigned responsibilities and ensure timely task completion. Coordinate with team members and report progress to management. Ensure proper documentation and compliance with guidelines.,2026-01-08
Data Analyst,Infosys,IT Services,Bhopal,Fresher,Full Time,On-site,careers@infosys.com,Ensure data accuracy and maintain database integrity. Implement data cleaning and transformation pipelines. Analyze large datasets to extract actionable insights. Work with stakeholders to understand data requirements.,2025-12-26
Site Supervisor,Adani Group,Construction,Lucknow,0-1 Years,Contract,On-site,careers@adanigroup.com,Ensure safety standards and material quality. Schedule labor and resources efficiently to meet deadlines. Supervise construction activities at the site. Coordinate with engineers and contractors.,2025-11-25
